Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,"Unpolarized capacitor, small symbol",C_Small,C12,2.7pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b28
2,"Unpolarized capacitor, small symbol",C_Small,C13,5.1pF,C_0805_2012Metric,1,~,5c70984812875079b91f8ba2
3,"Unpolarized capacitor, small symbol",C_Small,C4C6,6.8pf,C_0805_2012Metric,2,~,5c70984712875079b91f8b2e
4,"Unpolarized capacitor, small symbol",C_Small,C7C8,15pF,C_0805_2012Metric,2,~,5c70984712875079b91f8b32
5,"Unpolarized capacitor, small symbol",C_Small,C15,33pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b37
6,"Unpolarized capacitor, small symbol",C_Small,C9C10C11,"8,2pF",C_0805_2012Metric,3,~,5c70984712875079b91f8b2f
7,"Unpolarized capacitor, small symbol",C_Small,C17,100pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b3b
8,"Unpolarized capacitor, small symbol",C_Small,C2C19,100nF,C_0805_2012Metric,2,~,5c70984712875079b91f8b4c
9,"Unpolarized capacitor, small symbol",C_Small,C1C3C5C20,10uF,C_0805_2012Metric,4,~,5c70984812875079b91f8bbd
10,Light emitting diode,LED,D3,GREEN,LED_1206,1,~,5c70984412875079b91f8895
11,,D_ZENER,D1,M4,D_SMA,1,,5c70984512875079b91f88ac
12,Light emitting diode,LED,D2,RED,LED_1206,1,~,5c70984412875079b91f8896
13,1x02 2.54 mm pitch header,HEADER_1x02,J24J25,HEADER_1x02,Straight_1x02,2,,
14,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J5J13J14J15J16J17J19J20J21J22J23J26,HEADER_2x01_PARALLEL,Straight_2x01,12,,
15,MLAB modified doubled pinheader connector,JUMP_3X2,J1J4,JUMP_3X2,Straight_2x03,2,,
16,,SMA,J2J3,MCX,SMA6251A13G50,2,,5c70984412875079b91f87ac
17,"Inductor, small symbol",L_Small,L1L2,0R,R_0805_2012Metric,2,~,5c70984512875079b91f896b
18,"Inductor, small symbol",L_Small,L3L4L5L6,18nH,L_0805_2012Metric,4,~,5c70984412875079b91f8806
19,"Inductor, small symbol",L_Small,L7,39nH,L_0805_2012Metric,1,~,5c70984412875079b91f8809
20,"Inductor, small symbol",L_Small,L9L10,56nH,L_0805_2012Metric,2,~,5c70984812875079b91f8ba4
21,"Inductor, small symbol",L_Small,L8,220nH,L_0805_2012Metric,1,~,5c70984412875079b91f880d
22,Inductor with ferrite core,L_Ferrite,L11,74279204,L_0805_2012Metric,1,~,6016f01e1287504e4aa85f2a
23,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q1Q2,BC817,SOT-23,2,~,5c70984712875079b91f8aec
24,Resistor,R,R1,3R,R_0805_2012Metric,1,~,60d57f1a1287500165f858ae
25,Resistor,R,R4R9R10R11R12R13R15R16R17R18R19,33R,R_0805_2012Metric,11,~,5c70984512875079b91f8970
26,Resistor,R,R22R23,150R,R_0805_2012Metric,2,~,5c70984512875079b91f897a
27,Resistor,R,R2R3R5,10k,R_0805_2012Metric,3,~,5c70984512875079b91f897a
28,,LM1117,U1,LM1117-3V3,SOT-223,1,,5c70984712875079b91f8af9
29,"High-Performance, Low-Current Sub-GHz Transceiver, +20dBm, Major bands 142-1050 MHz, QFN-20",Si4463,U2,Si4463,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,https://www.silabs.com/documents/public/data-sheets/Si4464-63-61-60.pdf,
30,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y2,ABM3B-30.000MHZ-10-1-U-T,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,~,5c70984712875079b91f8ba1
