Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",134.0755,-97.7407,0.0000,bottom
"C2","100nF","SMD-0805",134.0755,-95.7087,0.0000,bottom
"C3","10uF","SMD-0805",140.3620,-103.0112,-90.0000,bottom
"C4","6.8pf","SMD-0805",170.9690,-102.7191,-90.0000,bottom
"C5","10uF","SMD-0805",128.2970,-102.9477,-90.0000,bottom
"C6","6.8pf","SMD-0805",169.5720,-92.7877,90.0000,bottom
"C7","15pF","SMD-0805",167.1590,-102.7191,-90.0000,bottom
"C8","15pF","SMD-0805",166.3970,-92.7877,90.0000,bottom
"C9","8,2pF","SMD-0805",162.0790,-102.7191,-90.0000,bottom
"C10","8,2pF","SMD-0805",163.2220,-92.7877,90.0000,bottom
"C11","8,2pF","C_0805_2012Metric",157.5070,-100.4077,90.0000,bottom
"C12","2.7pF","SMD-0805",160.0470,-95.9627,0.0000,bottom
"C13","5.1pF","SMD-0805",159.1580,-90.3112,90.0000,bottom
"C15","33pF","SMD-0805",155.8560,-106.7577,-90.0000,bottom
"C17","100pF","SMD-0805",157.8880,-106.7577,-90.0000,bottom
"C19","100nF","SMD-0805",160.0470,-109.9327,-90.0000,bottom
"C20","10uF","SMD-0805",153.8240,-106.6942,-90.0000,bottom
"D1","M4","Diode-MiniMELF_Standard",130.8370,-95.3277,90.0000,bottom
"D2","RED","LED_1206",171.0960,-118.3147,90.0000,bottom
"D3","GREEN","LED_1206",167.5400,-118.3147,90.0000,bottom
"J1","JUMP_3X2","Straight_2x03",126.3920,-95.9627,0.0000,top
"J2","MCX","SMA6251A13G50",178.4620,-106.7577,0.0000,top
"J3","MCX","SMA6251A13G50",178.4620,-95.9627,0.0000,top
"J4","JUMP_3X2","Straight_2x03",126.3920,-109.0437,0.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",137.1870,-115.0127,-90.0000,top
"J14","HEADER_2x01_PARALLEL","Straight_2x01",134.6470,-115.0127,-90.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",134.0120,-85.8027,90.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",136.5520,-85.8027,90.0000,top
"J17","HEADER_2x01_PARALLEL","Straight_2x01",157.5070,-115.0127,90.0000,top
"J19","HEADER_2x01_PARALLEL","Straight_2x01",149.8870,-115.0127,90.0000,top
"J20","HEADER_2x01_PARALLEL","Straight_2x01",154.9670,-115.0127,90.0000,top
"J21","HEADER_2x01_PARALLEL","Straight_2x01",152.4270,-115.0127,90.0000,top
"J22","HEADER_2x01_PARALLEL","Straight_2x01",151.7920,-85.8027,90.0000,top
"J23","HEADER_2x01_PARALLEL","Straight_2x01",154.3320,-85.8027,90.0000,top
"J24","HEADER_1x02","Straight_1x02",163.7300,-117.2987,180.0000,top
"J25","HEADER_1x02","Straight_1x02",161.1900,-117.2987,180.0000,top
"J26","HEADER_2x01_PARALLEL","Straight_2x01",144.8070,-115.0127,90.0000,top
"L1","0R","R_0805_2012Metric",172.1120,-99.5187,180.0000,bottom
"L2","0R","R_0805_2012Metric",171.4770,-95.9627,180.0000,bottom
"L3","18nH","L_0805_2012Metric",168.4290,-99.5441,180.0000,bottom
"L4","18nH","L_0805_2012Metric",167.6670,-95.9627,180.0000,bottom
"L5","18nH","L_0805_2012Metric",164.6190,-99.5441,180.0000,bottom
"L6","18nH","L_0805_2012Metric",163.8570,-95.9627,180.0000,bottom
"L7","39nH","L_0805_2012Metric",160.8090,-99.5441,180.0000,bottom
"L8","220nH","L_0805_2012Metric",160.0470,-102.3127,90.0000,bottom
"L9","56nH","L_0805_2012Metric",160.0470,-93.4227,180.0000,bottom
"L10","56nH","L_0805_2012Metric",156.8720,-94.6927,-90.0000,bottom
"L11","74279204","L_0805_2012Metric",160.7609,-127.6350,0.0000,top
"M1","HOLE","MountingHole_3mm",127.6620,-87.0727,0.0000,top
"M2","HOLE","MountingHole_3mm",178.4620,-117.5527,0.0000,top
"M3","HOLE","MountingHole_3mm",127.6620,-117.5527,0.0000,top
"M4","HOLE","MountingHole_3mm",188.6220,-87.0727,0.0000,top
"Q1","BC817","SOT-23",170.5880,-109.6787,0.0000,bottom
"Q2","BC817","SOT-23",166.7780,-109.6787,0.0000,bottom
"R1","0R","R_0805_2012Metric",162.0155,-106.3000,180.0000,bottom
"R9","33R","R_0805_2012Metric",137.1870,-110.5677,90.0000,bottom
"R10","33R","R_0805_2012Metric",134.6470,-110.5677,90.0000,bottom
"R11","33R","R_0805_2012Metric",134.0120,-90.2477,-90.0000,bottom
"R12","33R","R_0805_2012Metric",136.5520,-90.2477,-90.0000,bottom
"R13","33R","R_0805_2012Metric",157.5070,-110.5677,90.0000,bottom
"R15","33R","R_0805_2012Metric",149.8870,-110.5677,90.0000,bottom
"R16","33R","R_0805_2012Metric",154.9670,-110.5677,90.0000,bottom
"R17","33R","R_0805_2012Metric",152.4270,-110.5677,90.0000,bottom
"R18","33R","R_0805_2012Metric",151.1570,-90.2477,-90.0000,bottom
"R19","33R","R_0805_2012Metric",155.0940,-90.1842,-90.0000,bottom
"R22","150R","R_0805_2012Metric",171.0960,-113.4887,90.0000,bottom
"R23","150R","R_0805_2012Metric",167.5400,-113.4252,90.0000,bottom
"U1","LM1117-3V3","SOT-223",134.6470,-102.9477,90.0000,bottom
"U2","Si4463","QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",149.8870,-101.6777,-90.0000,bottom
"Y2","ABM3B-30.000MHZ-10-1-U-T","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",151.1570,-94.6227,180.0000,bottom
